Outlet Name	Street	District	City	Province	Địa chỉ	Google Maps Link
BIA HƠI ANH NAM	Số 01 Phạm Minh Đức	Phường Gia Viên	Thành Phố Hải Phòng	Hải Phòng	Số 01 Phạm Minh Đức Thành Phố Hải Phòng	https://www.google.com/maps/search/?api=1&query=BIA+H%C6%A0I+ANH+NAM+S%E1%BB%91+01+Ph%E1%BA%A1m+Minh+%C4%90%E1%BB%A9c+Th%C3%A0nh+Ph%E1%BB%91+H%E1%BA%A3i+Ph%C3%B2ng
BIA 1988	Hồ An Biên	Phường Gia Viên	Thành Phố Hải Phòng	Hải Phòng	Hồ An Biên Thành Phố Hải Phòng	https://www.google.com/maps/search/?api=1&query=BIA+1988+H%E1%BB%93+An+Bi%C3%AAn+Th%C3%A0nh+Ph%E1%BB%91+H%E1%BA%A3i+Ph%C3%B2ng
BIA HƠI HƯƠNG DỊU	Số 1 Phạm Minh Đức	Phường Gia Viên	Thành Phố Hải Phòng	Hải Phòng	Số 1 Phạm Minh Đức Thành Phố Hải Phòng	https://www.google.com/maps/search/?api=1&query=BIA+H%C6%A0I+H%C6%AF%C6%A0NG+D%E1%BB%8AU+S%E1%BB%91+1+Ph%E1%BA%A1m+Minh+%C4%90%E1%BB%A9c+Th%C3%A0nh+Ph%E1%BB%91+H%E1%BA%A3i+Ph%C3%B2ng
BIA KHÁNH XỒM	Bùi Thị Tự Nhiên	Phường Đông Hải	Thành Phố Hải Phòng	Hải Phòng	Bùi Thị Tự Nhiên Thành Phố Hải Phòng	https://www.google.com/maps/search/?api=1&query=BIA+KH%C3%81NH+X%E1%BB%92M+B%C3%B9i+Th%E1%BB%8B+T%E1%BB%B1+Nhi%C3%AAn+Th%C3%A0nh+Ph%E1%BB%91+H%E1%BA%A3i+Ph%C3%B2ng
SÂN BIA VƯỜN HỒNG	Lũng Bắc	Phường Hải An	Thành Phố Hải Phòng	Hải Phòng	Lũng Bắc Thành Phố Hải Phòng	https://www.google.com/maps/search/?api=1&query=S%C3%82N+BIA+V%C6%AF%E1%BB%9CN+H%E1%BB%92NG+L%C5%A9ng+B%E1%BA%AFc+Th%C3%A0nh+Ph%E1%BB%91+H%E1%BA%A3i+Ph%C3%B2ng
ĐƯỜNG RAY QUÁN	Lê Thánh Tông	Phường Ngô Quyền	Thành Phố Hải Phòng	Hải Phòng	Lê Thánh Tông Thành Phố Hải Phòng	https://www.google.com/maps/search/?api=1&query=%C4%90%C6%AF%E1%BB%9CNG+RAY+QU%C3%81N+L%C3%AA+Th%C3%A1nh+T%C3%B4ng+Th%C3%A0nh+Ph%E1%BB%91+H%E1%BA%A3i+Ph%C3%B2ng
QUÁN ANH EM	Đà Nẵng	Phường Ngô Quyền	Thành Phố Hải Phòng	Hải Phòng	Đà Nẵng Thành Phố Hải Phòng	https://www.google.com/maps/search/?api=1&query=QU%C3%81N+ANH+EM+%C4%90%C3%A0+N%E1%BA%B5ng+Th%C3%A0nh+Ph%E1%BB%91+H%E1%BA%A3i+Ph%C3%B2ng
BIA 3 NHẤT	Trần Hoàn	Phường Hải An	Thành Phố Hải Phòng	Hải Phòng	Trần Hoàn Thành Phố Hải Phòng	https://www.google.com/maps/search/?api=1&query=BIA+3+NH%E1%BA%A4T+Tr%E1%BA%A7n+Ho%C3%A0n+Th%C3%A0nh+Ph%E1%BB%91+H%E1%BA%A3i+Ph%C3%B2ng
VƯỜN BIA 88	61 Khu2	Phường Quảng Yên	Tỉnh Quảng Ninh	Quảng Ninh	61 Khu2 Tỉnh Quảng Ninh	https://www.google.com/maps/search/?api=1&query=V%C6%AF%E1%BB%9CN+BIA+88+61+Khu2+T%E1%BB%89nh+Qu%E1%BA%A3ng+Ninh
GOC GAO NHAN BEO	230 Trần Nhân Tông	Phường Quảng Yên	Tỉnh Quảng Ninh	Quảng Ninh	230 Trần Nhân Tông Tỉnh Quảng Ninh	https://www.google.com/maps/search/?api=1&query=GOC+GAO+NHAN+BEO+230+Tr%E1%BA%A7n+Nh%C3%A2n+T%C3%B4ng+T%E1%BB%89nh+Qu%E1%BA%A3ng+Ninh
MẠNH HƯƠNG	Kiot 1 Hạ long view	Phường Hồng Gai	Tỉnh Quảng Ninh	Quảng Ninh	Kiot 1 Hạ long view Tỉnh Quảng Ninh	https://www.google.com/maps/search/?api=1&query=M%E1%BA%A0NH+H%C6%AF%C6%A0NG+Kiot+1+H%E1%BA%A1+long+view+T%E1%BB%89nh+Qu%E1%BA%A3ng+Ninh
BẢN ĐỊA	Cenco 5	Phường Hồng Gai	Tỉnh Quảng Ninh	Quảng Ninh	Cenco 5 Tỉnh Quảng Ninh	https://www.google.com/maps/search/?api=1&query=B%E1%BA%A2N+%C4%90%E1%BB%8AA+Cenco+5+T%E1%BB%89nh+Qu%E1%BA%A3ng+Ninh
BIA VIỆT HÙNG	Lê Thánh Tông	Phường Hồng Gai	Tỉnh Quảng Ninh	Quảng Ninh	Lê Thánh Tông Tỉnh Quảng Ninh	https://www.google.com/maps/search/?api=1&query=BIA+VI%E1%BB%86T+H%C3%99NG+L%C3%AA+Th%C3%A1nh+T%C3%B4ng+T%E1%BB%89nh+Qu%E1%BA%A3ng+Ninh
TÙNG HẠNH	12B	Phường Hồng Gai	Tỉnh Quảng Ninh	Quảng Ninh	12B Tỉnh Quảng Ninh	https://www.google.com/maps/search/?api=1&query=T%C3%99NG+H%E1%BA%A0NH+12B+T%E1%BB%89nh+Qu%E1%BA%A3ng+Ninh
BIA MẠNH SỨT	Đê Lam Hạ	Phường Hà Nam	Tỉnh Hà Nam	Hà Nam	Đê Lam Hạ Tỉnh Hà Nam	https://www.google.com/maps/search/?api=1&query=BIA+M%E1%BA%A0NH+S%E1%BB%A8T+%C4%90%C3%AA+Lam+H%E1%BA%A1+T%E1%BB%89nh+H%C3%A0+Nam
VƯỜN BIA LAM HẠ	Bán Đảo Lam Hạ	Phường Hà Nam	Tỉnh Hà Nam	Hà Nam	Bán Đảo Lam Hạ Tỉnh Hà Nam	https://www.google.com/maps/search/?api=1&query=V%C6%AF%E1%BB%9CN+BIA+LAM+H%E1%BA%A0+B%C3%A1n+%C4%90%E1%BA%A3o+Lam+H%E1%BA%A1+T%E1%BB%89nh+H%C3%A0+Nam
QN VEN HỒ	234 Trường Chinh	Phường Phủ Lý	Tỉnh Hà Nam	Hà Nam	234 Trường Chinh Tỉnh Hà Nam	https://www.google.com/maps/search/?api=1&query=QN+VEN+H%E1%BB%92+234+Tr%C6%B0%E1%BB%9Dng+Chinh+T%E1%BB%89nh+H%C3%A0+Nam
QUÁN ĐỒNG TRANG	TDP Thá Nguyễn Lam	Phường Phủ Lý	Tỉnh Hà Nam	Hà Nam	TDP Thá Nguyễn Lam Tỉnh Hà Nam	https://www.google.com/maps/search/?api=1&query=QU%C3%81N+%C4%90%E1%BB%92NG+TRANG+TDP+Th%C3%A1+Nguy%E1%BB%85n+Lam+T%E1%BB%89nh+H%C3%A0+Nam
Muối Ớt		Trường Vinh	Tỉnh Nghệ An	Nghệ An		https://www.google.com/maps/search/?api=1&query=Mu%E1%BB%91i+%E1%BB%9At+Tr%C6%B0%E1%BB%9Dng+Vinh+T%E1%BB%89nh+Ngh%E1%BB%87+An+Ngh%E1%BB%87+An
Hoà Hằng Cơ sở 2	Gần Ngã 3 Nguyễn Huệ	Cửa Lò	Tỉnh Nghệ An	Nghệ An	Gần Ngã 3 Nguyễn Huệ Tỉnh Nghệ An	https://www.google.com/maps/search/?api=1&query=Ho%C3%A0+H%E1%BA%B1ng+C%C6%A1+s%E1%BB%9F+2+G%E1%BA%A7n+Ng%C3%A3+3+Nguy%E1%BB%85n+Hu%E1%BB%87+T%E1%BB%89nh+Ngh%E1%BB%87+An
A Hèm	Khối 2 Cửa Xá	Cửa Lò	Tỉnh Nghệ An	Nghệ An	Khối 2 Cửa Xá Tỉnh Nghệ An	https://www.google.com/maps/search/?api=1&query=A+H%C3%A8m+Kh%E1%BB%91i+2+C%E1%BB%ADa+X%C3%A1+T%E1%BB%89nh+Ngh%E1%BB%87+An
Hoa Đức	288 Bình Minh	Cửa Lò	Tỉnh Nghệ An	Nghệ An	288 Bình Minh Tỉnh Nghệ An	https://www.google.com/maps/search/?api=1&query=Hoa+%C4%90%E1%BB%A9c+288+B%C3%ACnh+Minh+T%E1%BB%89nh+Ngh%E1%BB%87+An
Ngói Garden	Số 76 Lê Mao Kéo Đài	Trường Vinh	Tỉnh Nghệ An	Nghệ An	Số 76 Lê Mao Kéo Đài Tỉnh Nghệ An	https://www.google.com/maps/search/?api=1&query=Ng%C3%B3i+Garden+S%E1%BB%91+76+L%C3%AA+Mao+K%C3%A9o+%C4%90%C3%A0i+T%E1%BB%89nh+Ngh%E1%BB%87+An
Ga Nhỏ	82 Nguyễn Xuân Ôn	Hưng Bình	Tỉnh Nghệ An	Nghệ An	82 Nguyễn Xuân Ôn Tỉnh Nghệ An	https://www.google.com/maps/search/?api=1&query=Ga+Nh%E1%BB%8F+82+Nguy%E1%BB%85n+Xu%C3%A2n+%C3%94n+T%E1%BB%89nh+Ngh%E1%BB%87+An
Hải Lam	Xóm Hồng Long	Quỳnh Lưu	Tỉnh Nghệ An	Nghệ An	Xóm Hồng Long Tỉnh Nghệ An	https://www.google.com/maps/search/?api=1&query=H%E1%BA%A3i+Lam+X%C3%B3m+H%E1%BB%93ng+Long+T%E1%BB%89nh+Ngh%E1%BB%87+An
Mỹ Dung	1 Thọ thắng	Quỳnh Lưu	Tỉnh Nghệ An	Nghệ An	1 Thọ thắng Tỉnh Nghệ An	https://www.google.com/maps/search/?api=1&query=M%E1%BB%B9+Dung+1+Th%E1%BB%8D+th%E1%BA%AFng+T%E1%BB%89nh+Ngh%E1%BB%87+An
Quách Tĩnh	Khối 5	Hoàng Mai	Tỉnh Nghệ An	Nghệ An	Khối 5 Tỉnh Nghệ An	https://www.google.com/maps/search/?api=1&query=Qu%C3%A1ch+T%C4%A9nh+Kh%E1%BB%91i+5+T%E1%BB%89nh+Ngh%E1%BB%87+An
Hệ Cây Bàng	Xóm 16	Hoàng Mai	Tỉnh Nghệ An	Nghệ An	Xóm 16 Tỉnh Nghệ An	https://www.google.com/maps/search/?api=1&query=H%E1%BB%87+C%C3%A2y+B%C3%A0ng+X%C3%B3m+16+T%E1%BB%89nh+Ngh%E1%BB%87+An
Quán Nhậu 248	248 Ngô Gia Tự		Tỉnh Nghệ An	Nghệ An	248 Ngô Gia Tự Tỉnh Nghệ An	https://www.google.com/maps/search/?api=1&query=Qu%C3%A1n+Nh%E1%BA%ADu+248+248+Ng%C3%B4+Gia+T%E1%BB%B1+T%E1%BB%89nh+Ngh%E1%BB%87+An
QUAN NHAU CAU AM	163 Đại La	Phường Tương Mai	Thành Phố Hà Nội	Hà Nội	163 Đại La Thành Phố Hà Nội	https://www.google.com/maps/search/?api=1&query=QUAN+NHAU+CAU+AM+163+%C4%90%E1%BA%A1i+La+Th%C3%A0nh+Ph%E1%BB%91+H%C3%A0+N%E1%BB%99i
BIA 79 (CS2)	325 Trần Đại Nghĩa	Phường Tương Mai	Thành Phố Hà Nội	Hà Nội	325 Trần Đại Nghĩa Thành Phố Hà Nội	https://www.google.com/maps/search/?api=1&query=BIA+79+%28CS2%29+325+Tr%E1%BA%A7n+%C4%90%E1%BA%A1i+Ngh%C4%A9a+Th%C3%A0nh+Ph%E1%BB%91+H%C3%A0+N%E1%BB%99i
DUNG BAO KHANH	108 D1 Đặng Văn Ngữ	Phường Kim Liên	Thành Phố Hà Nội	Hà Nội	108 D1 Đặng Văn Ngữ Thành Phố Hà Nội	https://www.google.com/maps/search/?api=1&query=DUNG+BAO+KHANH+108+D1+%C4%90%E1%BA%B7ng+V%C4%83n+Ng%E1%BB%AF+Th%C3%A0nh+Ph%E1%BB%91+H%C3%A0+N%E1%BB%99i
BIA HẦM PHỐ	Lê Duẩn	Phường Văn Miếu	Thành Phố Hà Nội	Hà Nội	Lê Duẩn Thành Phố Hà Nội	https://www.google.com/maps/search/?api=1&query=BIA+H%E1%BA%A6M+PH%E1%BB%90+L%C3%AA+Du%E1%BA%A9n+Th%C3%A0nh+Ph%E1%BB%91+H%C3%A0+N%E1%BB%99i
PHƯƠNG LỘC	Hồ Ba Mẫu	Phường Văn Miếu	Thành Phố Hà Nội	Hà Nội	Hồ Ba Mẫu Thành Phố Hà Nội	https://www.google.com/maps/search/?api=1&query=PH%C6%AF%C6%A0NG+L%E1%BB%98C+H%E1%BB%93+Ba+M%E1%BA%ABu+Th%C3%A0nh+Ph%E1%BB%91+H%C3%A0+N%E1%BB%99i
NHAU THONG NHAT	292 Hồ Ba Mẫu	Phường Đống Đa	Thành Phố Hà Nội	Hà Nội	292 Hồ Ba Mẫu Thành Phố Hà Nội	https://www.google.com/maps/search/?api=1&query=NHAU+THONG+NHAT+292+H%E1%BB%93+Ba+M%E1%BA%ABu+Th%C3%A0nh+Ph%E1%BB%91+H%C3%A0+N%E1%BB%99i
BIA PHỐ	Bt10 An hưng	Phường Dương Nội	Thành Phố Hà Nội	Hà Nội	Bt10 An hưng Thành Phố Hà Nội	https://www.google.com/maps/search/?api=1&query=BIA+PH%E1%BB%90+Bt10+An+h%C6%B0ng+Th%C3%A0nh+Ph%E1%BB%91+H%C3%A0+N%E1%BB%99i
QUÁN LỘC VỪNG	264 Chiến Thắng	Phường Hà Đông	Thành Phố Hà Nội	Hà Nội	264 Chiến Thắng Thành Phố Hà Nội	https://www.google.com/maps/search/?api=1&query=QU%C3%81N+L%E1%BB%98C+V%E1%BB%AANG+264+Chi%E1%BA%BFn+Th%E1%BA%AFng+Th%C3%A0nh+Ph%E1%BB%91+H%C3%A0+N%E1%BB%99i
BIỂN BIA	Hà Trì	Phường Hà Đông	Thành Phố Hà Nội	Hà Nội	Hà Trì Thành Phố Hà Nội	https://www.google.com/maps/search/?api=1&query=BI%E1%BB%82N+BIA+H%C3%A0+Tr%C3%AC+Th%C3%A0nh+Ph%E1%BB%91+H%C3%A0+N%E1%BB%99i
BIA NGOC XOM	Tt6 2b 80 Kdt Dai Kim	Phường Định Công	Thành Phố Hà Nội	Hà Nội	Tt6 2b 80 Kdt Dai Kim Thành Phố Hà Nội	https://www.google.com/maps/search/?api=1&query=BIA+NGOC+XOM+Tt6+2b+80+Kdt+Dai+Kim+Th%C3%A0nh+Ph%E1%BB%91+H%C3%A0+N%E1%BB%99i
BIA VAN BAO KHANH	KDT Đại Kim	Phường Định Công	Thành Phố Hà Nội	Hà Nội	KDT Đại Kim Thành Phố Hà Nội	https://www.google.com/maps/search/?api=1&query=BIA+VAN+BAO+KHANH+KDT+%C4%90%E1%BA%A1i+Kim+Th%C3%A0nh+Ph%E1%BB%91+H%C3%A0+N%E1%BB%99i
TU HAI	KDT Dai Kim	Phường Định Công	Thành Phố Hà Nội	Hà Nội	KDT Dai Kim Thành Phố Hà Nội	https://www.google.com/maps/search/?api=1&query=TU+HAI+KDT+Dai+Kim+Th%C3%A0nh+Ph%E1%BB%91+H%C3%A0+N%E1%BB%99i
NHA HANG QUANG SINH	KĐT mới Đại Kim	Phường Định Công	Thành Phố Hà Nội	Hà Nội	KĐT mới Đại Kim Thành Phố Hà Nội	https://www.google.com/maps/search/?api=1&query=NHA+HANG+QUANG+SINH+K%C4%90T+m%E1%BB%9Bi+%C4%90%E1%BA%A1i+Kim+Th%C3%A0nh+Ph%E1%BB%91+H%C3%A0+N%E1%BB%99i
Bia Đồng Đội	Chùa Láng	Phường Láng	Thành Phố Hà Nội	Hà Nội	Chùa Láng Thành Phố Hà Nội	https://www.google.com/maps/search/?api=1&query=Bia+%C4%90%E1%BB%93ng+%C4%90%E1%BB%99i+Ch%C3%B9a+L%C3%A1ng+Th%C3%A0nh+Ph%E1%BB%91+H%C3%A0+N%E1%BB%99i
BIA HUY BEO	Trâu Quỳ	Xã Gia Lâm	Thành Phố Hà Nội	Hà Nội	Trâu Quỳ Thành Phố Hà Nội	https://www.google.com/maps/search/?api=1&query=BIA+HUY+BEO+Tr%C3%A2u+Qu%E1%BB%B3+Th%C3%A0nh+Ph%E1%BB%91+H%C3%A0+N%E1%BB%99i
QUÁN BIA VÔ CỰC	Số191 Đường Đồng Mới, thôn Vân Lũng xã An Khánh, Hà Nội	Xã An Khánh	Thành Phố Hà Nội	Hà Nội	Số191 Đường Đồng Mới, thôn Vân Lũng xã An Khánh, Hà Nội Thành Phố Hà Nội	https://www.google.com/maps/search/?api=1&query=QU%C3%81N+BIA+V%C3%94+C%E1%BB%B0C+S%E1%BB%91191+%C4%90%C6%B0%E1%BB%9Dng+%C4%90%E1%BB%93ng+M%E1%BB%9Bi%2C+th%C3%B4n+V%C3%A2n+L%C5%A9ng+x%C3%A3+An+Kh%C3%A1nh%2C+H%C3%A0+N%E1%BB%99i+Th%C3%A0nh+Ph%E1%BB%91+H%C3%A0+N%E1%BB%99i
DE LINH DAN CS4	Kdt Nam Khánh	Xã An Khánh	Thành Phố Hà Nội	Hà Nội	Kdt Nam Khánh Thành Phố Hà Nội	https://www.google.com/maps/search/?api=1&query=DE+LINH+DAN+CS4+Kdt+Nam+Kh%C3%A1nh+Th%C3%A0nh+Ph%E1%BB%91+H%C3%A0+N%E1%BB%99i
Nhà Hàng Dũng Xoăn CS5		Phường Xuân Phương	Thành Phố Hà Nội	Hà Nội		https://www.google.com/maps/search/?api=1&query=Nh%C3%A0+H%C3%A0ng+D%C5%A9ng+Xo%C4%83n+CS5+Ph%C6%B0%E1%BB%9Dng+Xu%C3%A2n+Ph%C6%B0%C6%A1ng+Th%C3%A0nh+Ph%E1%BB%91+H%C3%A0+N%E1%BB%99i+H%C3%A0+N%E1%BB%99i
DŨNG XOĂN CS7	15.46 Xuân Phương	Phường Xuân Phương	Thành Phố Hà Nội	Hà Nội	15.46 Xuân Phương Thành Phố Hà Nội	https://www.google.com/maps/search/?api=1&query=D%C5%A8NG+XO%C4%82N+CS7+15.46+Xu%C3%A2n+Ph%C6%B0%C6%A1ng+Th%C3%A0nh+Ph%E1%BB%91+H%C3%A0+N%E1%BB%99i
Nhất Quán CS6	Tu Hoàng	Phường Xuân Phương	Thành Phố Hà Nội	Hà Nội	Tu Hoàng Thành Phố Hà Nội	https://www.google.com/maps/search/?api=1&query=Nh%E1%BA%A5t+Qu%C3%A1n+CS6+Tu+Ho%C3%A0ng+Th%C3%A0nh+Ph%E1%BB%91+H%C3%A0+N%E1%BB%99i
NHÀ HÀNG KIM CHI	Cổng Làng Miêu Nha	Phường Xuân Phương	Thành Phố Hà Nội	Hà Nội	Cổng Làng Miêu Nha Thành Phố Hà Nội	https://www.google.com/maps/search/?api=1&query=NH%C3%80+H%C3%80NG+KIM+CHI+C%E1%BB%95ng+L%C3%A0ng+Mi%C3%AAu+Nha+Th%C3%A0nh+Ph%E1%BB%91+H%C3%A0+N%E1%BB%99i
BIA HUY ANH	Ngã 4 Nguyễn Văn Huyên	Phường Quan Hoa	Thành Phố Hà Nội	Hà Nội	Ngã 4 Nguyễn Văn Huyên Thành Phố Hà Nội	https://www.google.com/maps/search/?api=1&query=BIA+HUY+ANH+Ng%C3%A3+4+Nguy%E1%BB%85n+V%C4%83n+Huy%C3%AAn+Th%C3%A0nh+Ph%E1%BB%91+H%C3%A0+N%E1%BB%99i
TÙNG AN	88 Dương Đình Nghệ	Phường Trung Hoà	Thành Phố Hà Nội	Hà Nội	88 Dương Đình Nghệ Thành Phố Hà Nội	https://www.google.com/maps/search/?api=1&query=T%C3%99NG+AN+88+D%C6%B0%C6%A1ng+%C4%90%C3%ACnh+Ngh%E1%BB%87+Th%C3%A0nh+Ph%E1%BB%91+H%C3%A0+N%E1%BB%99i
BIA 68 TÂY HỒ	43 Đặng Thái Mai	Phường Tây Hồ	Thành Phố Hà Nội	Hà Nội	43 Đặng Thái Mai Thành Phố Hà Nội	https://www.google.com/maps/search/?api=1&query=BIA+68+T%C3%82Y+H%E1%BB%92+43+%C4%90%E1%BA%B7ng+Th%C3%A1i+Mai+Th%C3%A0nh+Ph%E1%BB%91+H%C3%A0+N%E1%BB%99i
VƯỜN BIA PHỦI	Số 3 An Dương Vương	Phường Phú Thượng	Thành Phố Hà Nội	Hà Nội	Số 3 An Dương Vương Thành Phố Hà Nội	https://www.google.com/maps/search/?api=1&query=V%C6%AF%E1%BB%9CN+BIA+PH%E1%BB%A6I+S%E1%BB%91+3+An+D%C6%B0%C6%A1ng+V%C6%B0%C6%A1ng+Th%C3%A0nh+Ph%E1%BB%91+H%C3%A0+N%E1%BB%99i
XUÂN HOA	Kdt Tp Giao Lưu	Phường Phú Diễn	Thành Phố Hà Nội	Hà Nội	Kdt Tp Giao Lưu Thành Phố Hà Nội	https://www.google.com/maps/search/?api=1&query=XU%C3%82N+HOA+Kdt+Tp+Giao+L%C6%B0u+Th%C3%A0nh+Ph%E1%BB%91+H%C3%A0+N%E1%BB%99i
BIA 1990	16 TT 3 Khu Bt Tp Giao Lưu	Phường Phú Diễn	Thành Phố Hà Nội	Hà Nội	16 TT 3 Khu Bt Tp Giao Lưu Thành Phố Hà Nội	https://www.google.com/maps/search/?api=1&query=BIA+1990+16+TT+3+Khu+Bt+Tp+Giao+L%C6%B0u+Th%C3%A0nh+Ph%E1%BB%91+H%C3%A0+N%E1%BB%99i
NGÂN HÀ	Trần Huy Liệu	Phường Ba Đình	Thành Phố Hà Nội	Hà Nội	Trần Huy Liệu Thành Phố Hà Nội	https://www.google.com/maps/search/?api=1&query=NG%C3%82N+H%C3%80+Tr%E1%BA%A7n+Huy+Li%E1%BB%87u+Th%C3%A0nh+Ph%E1%BB%91+H%C3%A0+N%E1%BB%99i
BIA HẢI XỒM- NGUYỄN BÁ KHOẢN	Nguyễn bá khoản	Phường Trung Hoà	Thành Phố Hà Nội	Hà Nội	Nguyễn bá khoản Thành Phố Hà Nội	https://www.google.com/maps/search/?api=1&query=BIA+H%E1%BA%A2I+X%E1%BB%92M-+NGUY%E1%BB%84N+B%C3%81+KHO%E1%BA%A2N+Nguy%E1%BB%85n+b%C3%A1+kho%E1%BA%A3n+Th%C3%A0nh+Ph%E1%BB%91+H%C3%A0+N%E1%BB%99i
BIA ONG DUY TÂN	Trần Hưng Đạo	Phường Trần Hưng Đạo	Tỉnh Thái Bình	Thái Bình	Trần Hưng Đạo Tỉnh Thái Bình	https://www.google.com/maps/search/?api=1&query=BIA+ONG+DUY+T%C3%82N+Tr%E1%BA%A7n+H%C6%B0ng+%C4%90%E1%BA%A1o+T%E1%BB%89nh+Th%C3%A1i+B%C3%ACnh
QUÁN CÂY KHẾ	Nguyễn Trãi	Phường Vũ Phúc	Tỉnh Thái Bình	Thái Bình	Nguyễn Trãi Tỉnh Thái Bình	https://www.google.com/maps/search/?api=1&query=QU%C3%81N+C%C3%82Y+KH%E1%BA%BE+Nguy%E1%BB%85n+Tr%C3%A3i+T%E1%BB%89nh+Th%C3%A1i+B%C3%ACnh
BIA HAI XE	Tai dinh cu Ky Ba, Duong 25	Phường Trần Lãm	Tỉnh Thái Bình	Thái Bình	Tai dinh cu Ky Ba, Duong 25 Tỉnh Thái Bình	https://www.google.com/maps/search/?api=1&query=BIA+HAI+XE+Tai+dinh+cu+Ky+Ba%2C+Duong+25+T%E1%BB%89nh+Th%C3%A1i+B%C3%ACnh
BE THUI PHI HUNG	Nga 5	Phường Trần Lãm	Tỉnh Thái Bình	Thái Bình	Nga 5 Tỉnh Thái Bình	https://www.google.com/maps/search/?api=1&query=BE+THUI+PHI+HUNG+Nga+5+T%E1%BB%89nh+Th%C3%A1i+B%C3%ACnh
